Region,SaliencyVoxels,SaliencyVolume_mm3,RegionVolume_mm3,VolumeNormImportance%
3rd-Ventricle,106,917.69,783.05,117.19
Left-Accumbens-Area,92,796.48,750.18,106.17
Left-Amygdala,195,1688.19,1591.65,106.07
Left-Cerebellum-Cortex,5170,44758.8,42530.02,105.24
Right-Amygdala,182,1575.65,1503.46,104.8
4th-Ventricle,207,1792.08,1729.33,103.63
Right-Ventral-DC,454,3930.46,3827.96,102.68
Brain-Stem,2152,18630.74,18370.56,101.42
Right-Putamen,664,5748.52,5705.12,100.76
Right-Caudate,475,4112.27,4109.87,100.06
Left-Caudate,454,3930.46,3935.41,99.87
Left-Ventral-DC,447,3869.86,3932.3,98.41
Right-Thalamus,949,8215.88,8375.05,98.1
Left-Hippocampus,485,4198.84,4290.3,97.87
Left-Putamen,673,5826.44,5991.65,97.24
Right-Pallidum,206,1783.43,1858.25,95.97
Left-Thalamus,942,8155.28,8512.04,95.81
Right-Hippocampus,491,4250.79,4459.51,95.32
Left-Pallidum,205,1774.77,1899.58,93.43
Left-Lateral-Ventricle,563,4874.12,5343.43,91.22
Right-Accumbens-Area,86,744.54,820.38,90.76
Right-Lateral-Ventricle,542,4692.31,5197.81,90.27
Left-Cerebellum-White-Matter,1536,13297.78,15413.9,86.27
Left-Inferior-Lateral-Ventricle,73,631.99,738.11,85.62
Right-Inferior-Lateral-Ventricle,71,614.68,774.74,79.34
Right-Cerebellum-White-Matter,1162,10059.91,14926.23,67.4
Left-Cerebral-White-Matter,16444,142362.41,218078.45,65.28
Left-Cerebral-Cortex,18107,156759.68,272523.3,57.52
Right-Cerebellum-Cortex,2083,18033.38,38764.91,46.52
Right-Cerebral-White-Matter,11274,97603.61,219032.73,44.56
Right-Cerebral-Cortex,13215,114407.64,274192.25,41.73
